曲名,アーティスト名,正規化曲名,正規化アーティスト,曲キー,ジャンル,キー,歌唱回数,最初に歌った日,最後に歌った日,英語タイトル,備考
さんぽ,井上あずみ,さんぽ,井上あずみ,さんぽ / 井上あずみ,,,8,2021/08/10,2025/06/18,Sanpo,
となりのトトロ,井上あずみ,となりのトトロ,井上あずみ,となりのトトロ / 井上あずみ,,,12,2021/08/29,2026/03/28,My Neighbor Totoro,
君をのせて,井上あずみ,君をのせて,井上あずみ,君をのせて / 井上あずみ,,,21,2021/08/10,2026/03/24,Kimi o nosete,
吉原ラメント,亜沙,吉原ラメント,亜沙,吉原ラメント / 亜沙,,,12,2021/10/16,2026/03/09,Yoshiwara Lament,
さよならだけが人生だ,伊東歌詞太郎,さよならだけが人生だ,伊東歌詞太郎,さよならだけが人生だ / 伊東歌詞太郎,,,15,2021/08/10,2025/07/23,Sayonara dake ga Jinsei da,
Precious,伊藤由奈,Precious,伊藤由奈,Precious / 伊藤由奈,,,6,2022/03/23,2025/09/16,,
おしえて,伊集加代子,おしえて,伊集加代子,おしえて / 伊集加代子,,,1,2024/07/18,2024/07/18,Oshiete,
青春アミーゴ,修二と彰,青春アミーゴ,修二と彰,青春アミーゴ / 修二と彰,,,6,2021/05/28,2026/02/23,Seishun Amigo,
渡月橋 〜君 想ふ〜,倉木麻衣,渡月橋 〜君 想ふ〜,倉木麻衣,渡月橋 〜君 想ふ〜 / 倉木麻衣,,,24,2022/05/21,2026/01/12,Togetsukyou ~kimi omou~,
世界の約束,倍賞千恵子,世界の約束,倍賞千恵子,世界の約束 / 倍賞千恵子,,,27,2021/12/27,2026/02/25,Sekai no yakusoku,
あなたの夜が明けるまで,傘村トータ,あなたの夜が明けるまで,傘村トータ,あなたの夜が明けるまで / 傘村トータ,,,23,2021/08/12,2025/04/28,Anata no Yoru ga Akeru Made,
人工呼吸,傘村トータ,人工呼吸,傘村トータ,人工呼吸 / 傘村トータ,,,21,2021/07/11,2026/03/30,Jinkou Kokyuu,
大切な人たちへ,傘村トータ,大切な人たちへ,傘村トータ,大切な人たちへ / 傘村トータ,,,14,2021/07/31,2025/08/26,Taisetsu na Hitotachi e,
贖罪,傘村トータ,贖罪,傘村トータ,贖罪 / 傘村トータ,,,26,2021/09/06,2026/02/27,Syokuzai,
おにごっこ,優里,おにごっこ,優里,おにごっこ / 優里,,,1,2022/12/01,2022/12/01,Onigokko,
かくれんぼ,優里,かくれんぼ,優里,かくれんぼ / 優里,,,7,2022/02/13,2024/09/27,Kakurenbo,
シャッター,優里,シャッター,優里,シャッター / 優里,,,4,2022/11/09,2023/06/01,Shutter,
ドライフラワー,優里,ドライフラワー,優里,ドライフラワー / 優里,,,37,2021/07/11,2026/04/23,Dry Flowers,
ベテルギウス,優里,ベテルギウス,優里,ベテルギウス / 優里,,,41,2022/02/26,2026/04/23,Betelgeuse,
メリーゴーランド,優里,メリーゴーランド,優里,メリーゴーランド / 優里,,,23,2023/05/21,2026/02/20,merry-go-round,
レオ,優里,レオ,優里,レオ / 優里,,,35,2022/03/09,2026/04/23,Leo,
バイオレンストリガー,八王子P,バイオレンストリガー,八王子P,バイオレンストリガー / 八王子P,,,1,2021/06/18,2021/06/18,Violence Trigger,
気まぐれメルシィ,八王子P,気まぐれメルシィ,八王子P,気まぐれメルシィ / 八王子P,,,24,2023/03/02,2026/02/09,Kimagure Mercy,
Gimme×Gimme,八王子P × Giga,Gimme×Gimme,八王子P × Giga,Gimme×Gimme / 八王子P × Giga,,,31,2021/07/31,2026/04/04,,
シェイク,内緒のピアス,シェイク,内緒のピアス,シェイク / 内緒のピアス,,,1,2025/08/04,2025/08/04,Shake,
プロポーズ,内緒のピアス,プロポーズ,内緒のピアス,プロポーズ / 内緒のピアス,,,17,2024/02/25,2026/03/13,propose,
1925,冨田悠斗(とみー/T-POCKET),1925,冨田悠斗(とみー/T-POCKET),1925 / 冨田悠斗(とみー/T-POCKET),,,26,2021/06/18,2026/01/15,,
キューティーハニー,前川陽子,キューティーハニー,前川陽子,キューティーハニー / 前川陽子,,,5,2022/03/21,2024/06/01,Cutie Honey,
デビルマンのうた,十田敬,デビルマンのうた,十田敬,デビルマンのうた / 十田敬,,,9,2023/07/03,2026/03/23,Devilman no Uta,
恋愛サーキュレーション,千石撫子(花澤香菜),恋愛サーキュレーション,千石撫子(花澤香菜),恋愛サーキュレーション / 千石撫子(花澤香菜),,,22,2021/09/08,2025/06/06,Renai Circulation,
カサブタ,千綿偉功,カサブタ,千綿偉功,カサブタ / 千綿偉功,,,23,2022/06/23,2026/04/17,Kasabuta,
イガク,原口沙輔,イガク,原口沙輔,イガク / 原口沙輔,,,12,2024/07/06,2026/02/09,Igaku,
人マニア,原口沙輔,人マニア,原口沙輔,人マニア / 原口沙輔,,,19,2023/11/26,2026/02/09,Hito mania,
鬼ノ宴,友成空,鬼ノ宴,友成空,鬼ノ宴 / 友成空,,,19,2024/02/25,2025/12/01,Oni no utage,
グレゴリオ,古川本舗,グレゴリオ,古川本舗,グレゴリオ / 古川本舗,,,5,2024/11/12,2026/03/24,Gregorio,
イェイ!イェイ!イェイ!,吉田仁美,イェイ!イェイ!イェイ!,吉田仁美,イェイ!イェイ!イェイ! / 吉田仁美,,,7,2021/08/29,2024/04/27,Yey!Yey!Yey!,
オーバーライド,吉田夜世,オーバーライド,吉田夜世,オーバーライド / 吉田夜世,,,17,2024/09/08,2026/04/04,Override,
寄り酔い,和ぬか,寄り酔い,和ぬか,寄り酔い / 和ぬか,,,19,2021/09/20,2026/02/18,Yori yoi,
絶頂讃歌,和ぬか,絶頂讃歌,和ぬか,絶頂讃歌 / 和ぬか,,,14,2025/07/31,2026/03/28,Zecchou Sanka,
ビースト・ダンス,和田たけあき(くらげP),ビースト・ダンス,和田たけあき(くらげP),ビースト・ダンス / 和田たけあき(くらげP),,,6,2021/08/07,2026/04/27,Beast Dance,
Butter-Fly,和田光司,Butter-Fly,和田光司,Butter-Fly / 和田光司,,,32,2021/10/29,2026/03/13,,
バレンタイン・キッス,国生さゆり,バレンタイン・キッス,国生さゆり,バレンタイン・キッス / 国生さゆり,,,2,2022/02/14,2023/02/14,Valentine Kiss,
かくしん的☆めたまるふぉ～ぜっ!,土間うまる(田中あいみ),かくしん的☆めたまるふぉ～ぜっ!,土間うまる(田中あいみ),かくしん的☆めたまるふぉ～ぜっ! / 土間うまる(田中あいみ),,,10,2021/10/17,2025/09/01,Kakushin Teki ☆ Metamaruphose!,
トライアングラー,坂本真綾,トライアングラー,坂本真綾,トライアングラー / 坂本真綾,,,11,2024/01/28,2025/10/21,Triangular,
プラチナ,坂本真綾,プラチナ,坂本真綾,プラチナ / 坂本真綾,,,38,2022/03/23,2025/11/21,Platina,
エンドロール,夏代孝明,エンドロール,夏代孝明,エンドロール / 夏代孝明,,,3,2023/03/14,2025/12/13,Endroll,
ジャガーノート,夏代孝明,ジャガーノート,夏代孝明,ジャガーノート / 夏代孝明,,,4,2022/03/15,2025/12/29,Juggernaut,
ニア,夏代孝明,ニア,夏代孝明,ニア / 夏代孝明,,,27,2021/06/18,2026/03/30,Nia,
プラネタリウムの真実,夏代孝明,プラネタリウムの真実,夏代孝明,プラネタリウムの真実 / 夏代孝明,,,1,2021/06/18,2021/06/18,Planetarium no Shinjitsu,
世界の真ん中を歩く,夏代孝明,世界の真ん中を歩く,夏代孝明,世界の真ん中を歩く / 夏代孝明,,,8,2021/10/25,2026/01/22,sekai no mannaka o aruku,
PEACH,大塚愛,PEACH,大塚愛,PEACH / 大塚愛,,,2,2022/03/09,2025/09/16,,
SMILY,大塚愛,SMILY,大塚愛,SMILY / 大塚愛,,,3,2023/11/15,2026/04/04,,
さくらんぼ,大塚愛,さくらんぼ,大塚愛,さくらんぼ / 大塚愛,,,19,2021/08/21,2026/03/16,Sakuranbo,
プラネタリウム,大塚愛,プラネタリウム,大塚愛,プラネタリウム / 大塚愛,,,31,2021/07/31,2026/02/25,Planetarium,
金魚花火,大塚愛,金魚花火,大塚愛,金魚花火 / 大塚愛,,,23,2023/08/07,2026/02/25,Kingyo hanabi,
黒毛和牛上塩タン焼680円,大塚愛,黒毛和牛上塩タン焼680円,大塚愛,黒毛和牛上塩タン焼680円 / 大塚愛,,,21,2022/09/30,2025/11/21,Kurogewagyu Jotanshioyaki 680yen,
かいしんのいちげき！,天月-あまつき-,かいしんのいちげき！,天月-あまつき-,かいしんのいちげき！ / 天月-あまつき-,,,19,2021/07/31,2026/03/30,Kaishin no ichigeki!,
きみだけは。,天月-あまつき-,きみだけは。,天月-あまつき-,きみだけは。 / 天月-あまつき-,,,21,2021/07/17,2025/11/03,Kimi dake wa.,
イデア,天月-あまつき-,イデア,天月-あまつき-,イデア / 天月-あまつき-,,,7,2021/06/18,2025/11/03,Idea,
月曜日の憂鬱,天月-あまつき- feat.HoneyWorks,月曜日の憂鬱,天月-あまつき- feat.HoneyWorks,月曜日の憂鬱 / 天月-あまつき- feat.HoneyWorks,,,9,2021/07/17,2025/11/03,Getsuyoubi no Yuuutsu,
男女,太郎,男女,太郎,男女 / 太郎,,,2,2026/03/16,2026/04/20,Dan jo,
クイーンオブハート,奏音69,クイーンオブハート,奏音69,クイーンオブハート / 奏音69,,,6,2022/02/13,2026/03/23,Queen of Heart,
ガーネット,奥華子,ガーネット,奥華子,ガーネット / 奥華子,,,23,2021/08/30,2026/02/25,Garnet,
変わらないもの,奥華子,変わらないもの,奥華子,変わらないもの / 奥華子,,,34,2021/07/21,2025/08/19,Kawaranai Mono,
メフィスト,女王蜂,メフィスト,女王蜂,メフィスト / 女王蜂,,,5,2023/09/03,2024/01/15,Mephisto,
Ahoy!! 我ら宝鐘海賊団,宝鐘マリン,Ahoy!! 我ら宝鐘海賊団,宝鐘マリン,Ahoy!! 我ら宝鐘海賊団 / 宝鐘マリン,,,7,2023/01/17,2024/10/07,Ahoy!! Warera Houshou kaizoku-dan,
I’m Your Treasure Box ＊あなたは マリンせんちょうを たからばこからみつけた。,宝鐘マリン,I’m Your Treasure Box ＊あなたは マリンせんちょうを たからばこからみつけた。,宝鐘マリン,I’m Your Treasure Box ＊あなたは マリンせんちょうを たからばこからみつけた。 / 宝鐘マリン,,,1,2023/05/19,2023/05/19,,
美少女無罪♡パイレーツ,宝鐘マリン,美少女無罪♡パイレーツ,宝鐘マリン,美少女無罪♡パイレーツ / 宝鐘マリン,,,5,2024/04/11,2024/07/01,Bisyoujo muzai Pirates,
by your side,小川大輝,by your side,小川大輝,by your side / 小川大輝,,,13,2021/08/21,2025/07/31,,
ちっぽけな愛のうた,小枝理子＆小笠原秋,ちっぽけな愛のうた,小枝理子＆小笠原秋,ちっぽけな愛のうた / 小枝理子＆小笠原秋,,,3,2023/01/18,2026/03/24,Chippoke na Ai no Uta,
TOUCH,岩崎良美,TOUCH,岩崎良美,TOUCH / 岩崎良美,,,1,2022/06/15,2022/06/15,,
タッチ,岩崎良美,タッチ,岩崎良美,タッチ / 岩崎良美,,,10,2021/08/29,2026/04/11,Touch,
YUME日和,島谷ひとみ,YUME日和,島谷ひとみ,YUME日和 / 島谷ひとみ,,,4,2025/12/02,2026/04/17,YUME BIYORI,
亜麻色の髪の乙女,島谷ひとみ,亜麻色の髪の乙女,島谷ひとみ,亜麻色の髪の乙女 / 島谷ひとみ,,,1,2025/09/29,2025/09/29,Amairo no kami no otome,
亜麻色の髪の乙女,島谷ひとみ,亜麻色の髪の乙女,島谷ひとみ,亜麻色の髪の乙女 / 島谷ひとみ,,,1,2022/12/17,2022/12/17,Amashoku no kami no otome,
魔法の絨毯,川崎鷹也,魔法の絨毯,川崎鷹也,魔法の絨毯 / 川崎鷹也,,,19,2022/10/25,2026/01/22,Mahou no juutan,
FACT,常闇トワ,FACT,常闇トワ,FACT / 常闇トワ,,,4,2024/07/03,2025/05/23,,
ライメイ,常闇トワ,ライメイ,常闇トワ,ライメイ / 常闇トワ,,,5,2024/04/09,2025/05/23,Raimei,
百花繚乱,幾田りら,百花繚乱,幾田りら,百花繚乱 / 幾田りら,,,8,2025/03/22,2026/04/27,Hyakka Ryouran,
ロマンスの神様,広瀬香美,ロマンスの神様,広瀬香美,ロマンスの神様 / 広瀬香美,,,1,2022/03/23,2022/03/23,Romance no Kamisama,
モエチャッカファイア,弌誠,モエチャッカファイア,弌誠,モエチャッカファイア / 弌誠,,,12,2024/10/05,2025/12/27,Moe chakka fire,
いかないで,想太,いかないで,想太,いかないで / 想太,,,16,2021/09/20,2026/03/30,Ikanaide,
さよならの夏 ～コクリコ坂から～,手嶌葵,さよならの夏 ～コクリコ坂から～,手嶌葵,さよならの夏 ～コクリコ坂から～ / 手嶌葵,,,21,2021/09/15,2026/04/28,Summer of Farewells ~From Up on Poppy Hill~,
明日への手紙,手嶌葵,明日への手紙,手嶌葵,明日への手紙 / 手嶌葵,,,31,2021/09/11,2026/04/28,Asu e no Tegami,
GO! GO! MANIAC,放課後ティータイム,GO! GO! MANIAC,放課後ティータイム,GO! GO! MANIAC / 放課後ティータイム,,,5,2022/03/08,2023/08/21,,
Listen!!,放課後ティータイム,Listen!!,放課後ティータイム,Listen!! / 放課後ティータイム,,,13,2023/01/29,2026/03/21,,
"NO, Thank You!",放課後ティータイム,"NO, Thank You!",放課後ティータイム,"NO, Thank You! / 放課後ティータイム",,,14,2022/03/23,2026/03/21,,
U＆I,放課後ティータイム,U＆I,放課後ティータイム,U＆I / 放課後ティータイム,,,19,2022/03/21,2025/10/06,,
ふわふわ時間,放課後ティータイム,ふわふわ時間,放課後ティータイム,ふわふわ時間 / 放課後ティータイム,,,33,2021/10/03,2026/04/17,Fuwa fuwa time,
天使にふれたよ!,放課後ティータイム,天使にふれたよ!,放課後ティータイム,天使にふれたよ! / 放課後ティータイム,,,14,2022/09/23,2026/03/19,Tenshi ni furetayo!,
ブリキノダンス,日向電工,ブリキノダンス,日向電工,ブリキノダンス / 日向電工,,,25,2021/06/18,2026/03/09,Buriki no Dance,
水流のロック,日食なつこ,水流のロック,日食なつこ,水流のロック / 日食なつこ,,,4,2023/01/29,2025/12/27,Suiryu no Rock,
Caramel Pain,星街すいせい,Caramel Pain,星街すいせい,Caramel Pain / 星街すいせい,,,1,2026/03/23,2026/03/23,,
GHOST,星街すいせい,GHOST,星街すいせい,GHOST / 星街すいせい,,,20,2022/04/01,2026/02/27,,
Stellar Stellar,星街すいせい,Stellar Stellar,星街すいせい,Stellar Stellar / 星街すいせい,,,26,2022/06/01,2026/02/27,,
みちづれ,星街すいせい,みちづれ,星街すいせい,みちづれ / 星街すいせい,,,24,2023/03/25,2026/04/04,Michizure,
ソワレ,星街すいせい,ソワレ,星街すいせい,ソワレ / 星街すいせい,,,27,2023/10/01,2026/04/20,soiree,
バイバイレイニー,星街すいせい,バイバイレイニー,星街すいせい,バイバイレイニー / 星街すいせい,,,1,2025/07/31,2025/07/31,Bye Bye Rainy,
ビビデバ,星街すいせい,ビビデバ,星街すいせい,ビビデバ / 星街すいせい,,,28,2024/04/20,2026/04/20,Bibideba,
天球、彗星は夜を跨いで,星街すいせい,天球、彗星は夜を跨いで,星街すいせい,天球、彗星は夜を跨いで / 星街すいせい,,,24,2022/03/31,2026/04/04,"Tenkyuu, Suisei wa Yoru wo Mataide",
灼熱にて純情,星街すいせい,灼熱にて純情,星街すいせい,灼熱にて純情 / 星街すいせい,,,18,2022/11/18,2026/04/04,Shakunetu nite Junjou,
駆けろ,星街すいせい,駆けろ,星街すいせい,駆けろ / 星街すいせい,,,5,2025/04/08,2026/04/11,kakero,
恋,星野源,恋,星野源,恋 / 星野源,,,15,2021/05/28,2026/03/02,Koi,
深昏睡,春野,深昏睡,春野,深昏睡 / 春野,,,20,2021/09/15,2025/12/23,Deep Coma,
バラライカ,月島きらり starring 久住小春,バラライカ,月島きらり starring 久住小春,バラライカ / 月島きらり starring 久住小春,,,33,2021/07/11,2026/04/11,balalaika,
高音厨音域テスト,木村わいP,高音厨音域テスト,木村わいP,高音厨音域テスト / 木村わいP,,,1,2022/11/29,2022/11/29,Kouon Chuu On'iki Test,
いつも何度でも,木村弓,いつも何度でも,木村弓,いつも何度でも / 木村弓,,,2,2025/06/18,2026/03/05,Itsumo nando demo,
いのちの名前,木村弓,いのちの名前,木村弓,いのちの名前 / 木村弓,,,34,2021/07/21,2026/04/28,Inochi no Namae,
忘れじの言の葉,未来古代楽団,忘れじの言の葉,未来古代楽団,忘れじの言の葉 / 未来古代楽団,,,53,2021/07/17,2026/03/24,Wasureji no Kotonoha,
カントリー・ロード,本名陽子,カントリー・ロード,本名陽子,カントリー・ロード / 本名陽子,,,1,2025/04/08,2025/04/08,Country Road,
オリビアを聴きながら,杏里,オリビアを聴きながら,杏里,オリビアを聴きながら / 杏里,,,10,2021/05/28,2025/07/16,Olivia o kikinagara,
Let It Go〜ありのままで〜,松たか子,Let It Go〜ありのままで〜,松たか子,Let It Go〜ありのままで〜 / 松たか子,,,5,2021/10/09,2026/01/05,,
やさしさに包まれたなら,松任谷由実,やさしさに包まれたなら,松任谷由実,やさしさに包まれたなら / 松任谷由実,,,5,2022/11/01,2025/12/16,Yasashisa ni Tsutsumareta nara,
ルージュの伝言,松任谷由実,ルージュの伝言,松任谷由実,ルージュの伝言 / 松任谷由実,,,7,2022/06/22,2025/06/18,Rouge no dengon,
めざせポケモンマスター,松本梨香,めざせポケモンマスター,松本梨香,めざせポケモンマスター / 松本梨香,,,1,2026/01/05,2026/01/05,Go for Pokémon Master,
小さきもの,林明日香,小さきもの,林明日香,小さきもの / 林明日香,,,1,2023/07/06,2023/07/06,Chiisaki mono,
エバ,柊キライ,エバ,柊キライ,エバ / 柊キライ,,,18,2021/06/18,2026/01/19,Eva,
オートファジー,柊キライ,オートファジー,柊キライ,オートファジー / 柊キライ,,,5,2021/06/18,2023/06/22,Autophagy,
ボッカデラベリタ,柊キライ,ボッカデラベリタ,柊キライ,ボッカデラベリタ / 柊キライ,,,5,2021/10/06,2025/09/08,Bocca della Verità,
メビウス,柊キライ,メビウス,柊キライ,メビウス / 柊キライ,,,7,2021/10/24,2023/04/21,Möbius,
ラブカ？,柊キライ,ラブカ？,柊キライ,ラブカ？ / 柊キライ,,,17,2021/08/12,2026/03/23,Love ka?,
テトリス,柊マグネタイト,テトリス,柊マグネタイト,テトリス / 柊マグネタイト,,,4,2025/02/12,2025/11/29,Tetris,
マーシャル・マキシマイザー,柊マグネタイト,マーシャル・マキシマイザー,柊マグネタイト,マーシャル・マキシマイザー / 柊マグネタイト,,,3,2022/05/22,2023/06/25,Marshall Maximizer,
リアライズ,柊マグネタイト,リアライズ,柊マグネタイト,リアライズ / 柊マグネタイト,,,1,2023/09/03,2023/09/03,Realize,
撫でんな,柊マグネタイト,撫でんな,柊マグネタイト,撫でんな / 柊マグネタイト,,,26,2022/08/28,2026/04/13,Nadenna,
かたちあるもの,柴咲コウ,かたちあるもの,柴咲コウ,かたちあるもの / 柴咲コウ,,,13,2022/05/31,2026/02/06,Katachi aru mono,
ひと恋めぐり,柴咲コウ,ひと恋めぐり,柴咲コウ,ひと恋めぐり / 柴咲コウ,,,13,2021/09/11,2026/03/05,Hito koi meguri,
"Don't say ""lazy""",桜高軽音部,"Don't say ""lazy""",桜高軽音部,"Don't say ""lazy"" / 桜高軽音部",,,11,2022/03/26,2026/01/10,,
一心不乱,梅とら,一心不乱,梅とら,一心不乱 / 梅とら,,,6,2022/02/12,2026/03/09,Isshinfuran,
威風堂々,梅とら,威風堂々,梅とら,威風堂々 / 梅とら,,,14,2022/02/12,2026/03/09,Ifuudoudou,
虎視眈々,梅とら,虎視眈々,梅とら,虎視眈々 / 梅とら,,,15,2021/08/12,2026/03/09,Koshitantan,
ペテン師が笑う頃に,梨本P,ペテン師が笑う頃に,梨本P,ペテン師が笑う頃に / 梨本P,,,3,2022/03/06,2025/09/08,Petenshi ga Warau Koro ni,
さくら,森山直太朗,さくら,森山直太朗,さくら / 森山直太朗,,,1,2026/03/19,2026/03/19,Sakura,
丸の内サディスティック,椎名 林檎,丸の内サディスティック,椎名 林檎,丸の内サディスティック / 椎名 林檎,,,29,2021/08/27,2025/12/23,Marunouchi Sadistic,
サイレントマジョリティー,櫻坂46,サイレントマジョリティー,櫻坂46,サイレントマジョリティー / 櫻坂46,,,1,2022/02/12,2022/02/12,Silent majority,
ETERNAL BLAZE,水樹奈々,ETERNAL BLAZE,水樹奈々,ETERNAL BLAZE / 水樹奈々,,,18,2022/04/09,2026/03/28,,
深愛,水樹奈々,深愛,水樹奈々,深愛 / 水樹奈々,,,19,2022/03/29,2026/01/27,Shin Ai,
革命デュアリズム,水樹奈々×T.M.Revolution,革命デュアリズム,水樹奈々×T.M.Revolution,革命デュアリズム / 水樹奈々×T.M.Revolution,,,16,2021/08/21,2026/03/28,Kakumei Dualism,
Wishing,水瀬いのり,Wishing,水瀬いのり,Wishing / 水瀬いのり,,,1,2025/02/06,2025/02/06,,
magnet,流星P,magnet,流星P,magnet / 流星P,,,15,2021/10/03,2026/02/08,,
アンビバレンツ,流星P,アンビバレンツ,流星P,アンビバレンツ / 流星P,,,2,2021/07/31,2022/03/23,Ambivalence,
海の声,浦島太郎（桐谷健太）,海の声,浦島太郎（桐谷健太）,海の声 / 浦島太郎（桐谷健太）,,,10,2021/09/25,2025/07/16,Umi no Koe,
God knows...,涼宮ハルヒ(平野綾),God knows...,涼宮ハルヒ(平野綾),God knows... / 涼宮ハルヒ(平野綾),,,43,2021/09/18,2026/03/21,,
ハレ晴レユカイ,涼宮ハルヒ(平野綾)・長門有希(茅原実里)・朝比奈みくる(後藤邑子),ハレ晴レユカイ,涼宮ハルヒ(平野綾)・長門有希(茅原実里)・朝比奈みくる(後藤邑子),ハレ晴レユカイ / 涼宮ハルヒ(平野綾)・長門有希(茅原実里)・朝比奈みくる(後藤邑子),,,12,2021/10/17,2026/03/21,Hare Hare Yukai,
#あくあ色ぱれっと,湊あくあ,#あくあ色ぱれっと,湊あくあ,#あくあ色ぱれっと / 湊あくあ,,,13,2023/04/15,2026/02/09,aqua iro palette,
純恋歌,湘南乃風,純恋歌,湘南乃風,純恋歌 / 湘南乃風,,,6,2024/06/11,2025/10/21,Junrenka,
7150日,瀬名航,7150日,瀬名航,7150日 / 瀬名航,,,15,2021/11/16,2026/01/15,7150-Nichi,
トラフィック・ジャム,煮ル果実,トラフィック・ジャム,煮ル果実,トラフィック・ジャム / 煮ル果実,,,5,2021/05/28,2023/08/08,Traffic Jam,
ヲズワルド,煮ル果実,ヲズワルド,煮ル果実,ヲズワルド / 煮ル果実,,,1,2022/01/26,2022/01/26,Wozwald,
繰り返し一粒,猫虫P,繰り返し一粒,猫虫P,繰り返し一粒 / 猫虫P,,,5,2021/10/24,2026/02/18,Kurikaeshi Hitotsubu,
絶え間なく藍色,獅子志司,絶え間なく藍色,獅子志司,絶え間なく藍色 / 獅子志司,,,16,2021/06/18,2025/11/18,Taemanaku Aiiro,
Believe,玉置成実,Believe,玉置成実,Believe / 玉置成実,,,1,2024/06/11,2024/06/11,,
食虫植物,理芽,食虫植物,理芽,食虫植物 / 理芽,,,24,2023/03/25,2026/02/20,Shokuchuu Shokubutsu,
香水,瑛人,香水,瑛人,香水 / 瑛人,,,9,2021/10/10,2024/09/03,Kousui,
you,癒月,you,癒月,you / 癒月,,,1,2021/08/18,2021/08/18,,
津軽海峡・冬景色,石川さゆり,津軽海峡・冬景色,石川さゆり,津軽海峡・冬景色 / 石川さゆり,,,13,2021/07/02,2026/01/05,tsugarukaikyō fuyugeshiki,
ゆるふわ樹海ガール,石風呂,ゆるふわ樹海ガール,石風呂,ゆるふわ樹海ガール / 石風呂,,,5,2021/06/18,2025/09/05,Yurufuwa Jukai Girl,
ひまわりの約束,秦基博,ひまわりの約束,秦基博,ひまわりの約束 / 秦基博,,,32,2021/07/11,2026/03/12,Himawari no yakusoku,
あわてんぼうのサンタクロース,童謡,あわてんぼうのサンタクロース,童謡,あわてんぼうのサンタクロース / 童謡,,,2,2022/06/15,2025/12/23,Awatenbou no Santa Claus,
おもちゃのチャチャチャ,童謡,おもちゃのチャチャチャ,童謡,おもちゃのチャチャチャ / 童謡,,,2,2022/02/26,2022/06/15,omocha no cha cha cha,
どんぐりころころ,童謡,どんぐりころころ,童謡,どんぐりころころ / 童謡,,,1,2022/03/15,2022/03/15,Donguri korokoro,
アイアイ,童謡,アイアイ,童謡,アイアイ / 童謡,,,1,2022/03/15,2022/03/15,aye-aye,
世界中のこどもたちが,童謡,世界中のこどもたちが,童謡,世界中のこどもたちが / 童謡,,,1,2022/06/15,2022/06/15,Sekaijuu no kodomo tachi ga,
大きな古時計,童謡,大きな古時計,童謡,大きな古時計 / 童謡,,,1,2025/05/22,2025/05/22,Okina furudokei,
犬のおまわりさん,童謡,犬のおまわりさん,童謡,犬のおまわりさん / 童謡,,,1,2022/06/15,2022/06/15,inu no omawari san,
BOW AND ARROW,米津玄師,BOW AND ARROW,米津玄師,BOW AND ARROW / 米津玄師,,,6,2025/03/22,2026/01/05,,
Flamingo,米津玄師,Flamingo,米津玄師,Flamingo / 米津玄師,,,28,2021/09/08,2025/11/17,,
Flowerwall,米津玄師,Flowerwall,米津玄師,Flowerwall / 米津玄師,,,1,2025/12/23,2025/12/23,,
IRIS OUT,米津玄師,IRIS OUT,米津玄師,IRIS OUT / 米津玄師,,,17,2025/10/03,2026/03/28,,
KICK BACK,米津玄師,KICK BACK,米津玄師,KICK BACK / 米津玄師,,,18,2022/10/25,2026/04/20,,
LOSER,米津玄師,LOSER,米津玄師,LOSER / 米津玄師,,,19,2021/08/18,2026/01/05,,
Lemon,米津玄師,Lemon,米津玄師,Lemon / 米津玄師,,,27,2021/07/11,2026/03/12,,
Pale Blue,米津玄師,Pale Blue,米津玄師,Pale Blue / 米津玄師,,,35,2021/12/18,2026/03/02,,
orion,米津玄師,orion,米津玄師,orion / 米津玄師,,,23,2021/09/22,2025/12/29,,
vivi,米津玄師,vivi,米津玄師,vivi / 米津玄師,,,2,2023/06/24,2025/11/17,,
さよーならまたいつか！,米津玄師,さよーならまたいつか！,米津玄師,さよーならまたいつか！ / 米津玄師,,,8,2025/10/20,2026/04/04,Sayo-nara mata itsuka,
アイネクライネ,米津玄師,アイネクライネ,米津玄師,アイネクライネ / 米津玄師,,,29,2021/08/30,2026/03/02,Eine Kleine,
カムパネルラ,米津玄師,カムパネルラ,米津玄師,カムパネルラ / 米津玄師,,,1,2025/11/17,2025/11/17,Campanella,
ゴーゴー幽霊船,米津玄師,ゴーゴー幽霊船,米津玄師,ゴーゴー幽霊船 / 米津玄師,,,2,2025/10/05,2025/11/17,Go Go Yuureisen,
ピースサイン,米津玄師,ピースサイン,米津玄師,ピースサイン / 米津玄師,,,29,2021/09/18,2026/03/16,Peace Sign,
メトロノーム,米津玄師,メトロノーム,米津玄師,メトロノーム / 米津玄師,,,17,2021/08/21,2025/09/09,Metronome,
メランコリーキッチン,米津玄師,メランコリーキッチン,米津玄師,メランコリーキッチン / 米津玄師,,,9,2023/08/10,2025/11/29,Melancholy Kitchen,
地球儀,米津玄師,地球儀,米津玄師,地球儀 / 米津玄師,,,7,2023/11/10,2026/01/17,Chikyuugi,
感電,米津玄師,感電,米津玄師,感電 / 米津玄師,,,19,2021/08/21,2025/10/11,Kanden,
春雷,米津玄師,春雷,米津玄師,春雷 / 米津玄師,,,10,2025/04/18,2026/03/19,Syunrai,
月を見ていた,米津玄師,月を見ていた,米津玄師,月を見ていた / 米津玄師,,,3,2023/10/04,2025/04/10,Tsuki wo miteita,
死神,米津玄師,死神,米津玄師,死神 / 米津玄師,,,25,2022/08/28,2026/04/13,Shinigami,
海の幽霊,米津玄師,海の幽霊,米津玄師,海の幽霊 / 米津玄師,,,24,2022/06/11,2026/04/23,Umi no yuurei,
