曲名,アーティスト名,正規化曲名,正規化アーティスト,曲キー,ジャンル,キー,歌唱回数,最初に歌った日,最後に歌った日,英語タイトル,備考
アヤノの幸福理論,じん,アヤノの幸福理論,じん,アヤノの幸福理論 / じん,,,12,2021/09/18,2026/04/28,Ayano no Koufuku Riron,
サマータイムレコード,じん,サマータイムレコード,じん,サマータイムレコード / じん,,,34,2021/07/11,2025/08/26,Summertime Record,
チルドレンレコード,じん,チルドレンレコード,じん,チルドレンレコード / じん,,,1,2021/09/18,2021/09/18,Children Record,
夕景イエスタデイ,じん,夕景イエスタデイ,じん,夕景イエスタデイ / じん,,,8,2021/06/18,2025/09/01,Yuukei yesterday,
夜咄ディセイブ,じん,夜咄ディセイブ,じん,夜咄ディセイブ / じん,,,6,2023/08/23,2026/04/13,Yobanashi Deceive,
如月アテンション,じん,如月アテンション,じん,如月アテンション / じん,,,7,2022/01/16,2026/04/13,Kisaragi attention,
空想フォレスト,じん,空想フォレスト,じん,空想フォレスト / じん,,,6,2021/06/18,2026/04/13,Kuusou Forest,
リモコン,じーざすP,リモコン,じーざすP,リモコン / じーざすP,,,1,2023/05/28,2023/05/28,Rimokon,
無頼ック自己ライザー,じーざすP,無頼ック自己ライザー,じーざすP,無頼ック自己ライザー / じーざすP,,,6,2021/06/25,2025/10/05,Buraikku Jikoriser,
アイロニ,すこっぷ,アイロニ,すこっぷ,アイロニ / すこっぷ,,,21,2021/07/21,2025/10/09,Irony,
マリオネットシンドローム,すこっぷ,マリオネットシンドローム,すこっぷ,マリオネットシンドローム / すこっぷ,,,2,2022/01/03,2023/09/08,Marionette Syndrome,
夏の終わり、恋の始まり,すこっぷ,夏の終わり、恋の始まり,すこっぷ,夏の終わり、恋の始まり / すこっぷ,,,1,2022/08/30,2022/08/30,"Natsu no Owari, Koi no Hajimari",
エゴロック,すりぃ,エゴロック,すりぃ,エゴロック / すりぃ,,,15,2022/01/08,2026/04/04,Ego Rock,
ジャンキーナイトタウンオーケストラ,すりぃ,ジャンキーナイトタウンオーケストラ,すりぃ,ジャンキーナイトタウンオーケストラ / すりぃ,,,12,2021/08/21,2025/09/08,Junky Night Town Orchestra,
テレキャスタービーボーイ,すりぃ,テレキャスタービーボーイ,すりぃ,テレキャスタービーボーイ / すりぃ,,,14,2022/03/18,2025/09/13,Telecaster B-Boy,
バニー,すりぃ,バニー,すりぃ,バニー / すりぃ,,,23,2022/03/13,2025/11/03,Bunny,
フクロウさん,すりぃ,フクロウさん,すりぃ,フクロウさん / すりぃ,,,6,2022/03/20,2023/05/05,Fukurou san,
ラヴィ,すりぃ,ラヴィ,すりぃ,ラヴィ / すりぃ,,,31,2023/01/29,2026/01/10,Lavie,
表裏一体,すりぃ,表裏一体,すりぃ,表裏一体 / すりぃ,,,2,2022/01/26,2022/08/05,Hyouriittai,
秒針を噛む,ずっと真夜中でいいのに。,秒針を噛む,ずっと真夜中でいいのに。,秒針を噛む / ずっと真夜中でいいのに。,,,17,2021/09/06,2025/10/20,byōshin o kamu,
脳裏上のクラッカー,ずっと真夜中でいいのに。,脳裏上のクラッカー,ずっと真夜中でいいのに。,脳裏上のクラッカー / ずっと真夜中でいいのに。,,,4,2022/09/25,2024/12/17,nōri ue no cracker,
ハレンチ,ちゃんみな,ハレンチ,ちゃんみな,ハレンチ / ちゃんみな,,,8,2025/11/06,2026/03/23,Harenchi,
またねがあれば,ちんまりP,またねがあれば,ちんまりP,またねがあれば / ちんまりP,,,3,2022/04/06,2025/08/26,Matane ga areba,
